Source,Target,Weight,Journal
"Moody, William Vaughn","Ficke, Arthur Davison",2,poetry-little-review-edges
"Baker, Karle Wilson","Stevens, Wallace",3,poetry-little-review-edges
"Baker, Karle Wilson","Henderson, Alice C.",3,poetry-little-review-edges
"Baker, Karle Wilson","Bodenheim, Maxwell",2,poetry-little-review-edges
"Baker, Karle Wilson","Monroe, Harriet",4,poetry-little-review-edges
"Baker, Karle Wilson","Dresbach, Glenn Ward",2,poetry-little-review-edges
"Baker, Karle Wilson","Wheelock, John Hall",2,poetry-little-review-edges
"Baker, Karle Wilson","Driscoll, Louise",2,poetry-little-review-edges
"Baker, Karle Wilson","Lowell, Amy",2,poetry-little-review-edges
"Baker, Karle Wilson","Sandburg, Carl",2,poetry-little-review-edges
C. Z.,jh,2,poetry-little-review-edges
C. Z.,"Anderson, Margaret C.",2,poetry-little-review-edges
C. Z.,"Gilmore, Louis",2,poetry-little-review-edges
"Hunt, Violet","Monroe, Harriet",2,poetry-little-review-edges
"Harris, Frank","Anderson, Margaret C.",2,poetry-little-review-edges
"Torrence, Ridgely","Monroe, Harriet",3,poetry-little-review-edges
"Torrence, Ridgely","Colum, Padraic",2,poetry-little-review-edges
"Torrence, Ridgely","Gibson, Wilfrid Wilson",2,poetry-little-review-edges
"Torrence, Ridgely","Pound, Ezra",2,poetry-little-review-edges
"Lindsay, Nicholas Vachel",S. H. G.,2,poetry-little-review-edges
"Lindsay, Nicholas Vachel",M. H. P.,2,poetry-little-review-edges
"Lindsay, Nicholas Vachel","Wing, DeWitt C.",3,poetry-little-review-edges
"Lindsay, Nicholas Vachel","Monroe, Harriet",3,poetry-little-review-edges
"Lindsay, Nicholas Vachel","Tietjens, Eunice",3,poetry-little-review-edges
"Lindsay, Nicholas Vachel","Anderson, Margaret C.",3,poetry-little-review-edges
"Lindsay, Nicholas Vachel","Pound, Ezra",2,poetry-little-review-edges
"Lindsay, Nicholas Vachel","Jones, Llewellyn",2,poetry-little-review-edges
"Lindsay, Nicholas Vachel","Dell, Floyd",2,poetry-little-review-edges
"Lindsay, Nicholas Vachel","Soule, George",3,poetry-little-review-edges
"Lindsay, Nicholas Vachel","Foster, George Burman",3,poetry-little-review-edges
"Lindsay, Nicholas Vachel","Swawite, Marguerite",2,poetry-little-review-edges
"Lindsay, Nicholas Vachel","Sell, Henry Blackman",2,poetry-little-review-edges
"Lindsay, Nicholas Vachel","Nietzsche, Friedrich",2,poetry-little-review-edges
"Lindsay, Nicholas Vachel","Kaun, Alexander S.",2,poetry-little-review-edges
"Lindsay, Nicholas Vachel","Lowell, Amy",5,poetry-little-review-edges
M. B.,"Bodenheim, Maxwell",2,poetry-little-review-edges
M. B.,"Soule, George",2,poetry-little-review-edges
M. B.,"Hoyt, Helen",2,poetry-little-review-edges
M. B.,"Maeterlinck, Maurice",2,poetry-little-review-edges
M. B.,"Foster, George Burman",2,poetry-little-review-edges
M. B.,"Anderson, Margaret C.",3,poetry-little-review-edges
M. B.,"Ashleigh, Charles",3,poetry-little-review-edges
M. B.,"Symons, Arthur",2,poetry-little-review-edges
M. B.,"Kaun, Alexander S.",2,poetry-little-review-edges
M. B.,"Lowell, Amy",3,poetry-little-review-edges
M. B.,"Bynner, Witter",2,poetry-little-review-edges
"Heller, Helen West","Bodenheim, Maxwell",2,poetry-little-review-edges
"Heller, Helen West","Joyce, James",2,poetry-little-review-edges
"Heller, Helen West","Anderson, Margaret C.",2,poetry-little-review-edges
"Heller, Helen West","Gould, Wallace",2,poetry-little-review-edges
F. E. R.,jh,2,poetry-little-review-edges
F. E. R.,"Barnes, Djuna",2,poetry-little-review-edges
F. E. R.,"Gilmore, Louis",2,poetry-little-review-edges
F. E. R.,"Anderson, Sherwood",3,poetry-little-review-edges
F. E. R.,"Rodker, John",2,poetry-little-review-edges
F. E. R.,"Joyce, James",2,poetry-little-review-edges
F. E. R.,"Carnevali, Emanuel",3,poetry-little-review-edges
F. E. R.,"Richardson, Dorothy M.",3,poetry-little-review-edges
F. E. R.,"Pound, Ezra",4,poetry-little-review-edges
F. E. R.,"Bodenheim, Maxwell",3,poetry-little-review-edges
F. E. R.,"Fenollosa, Ernest",2,poetry-little-review-edges
F. E. R.,"Anderson, Margaret C.",3,poetry-little-review-edges
F. E. R.,"Butts, Mary",2,poetry-little-review-edges
"Robinson, Edwin Arlington","Monroe, Harriet",2,poetry-little-review-edges
"Robinson, Edwin Arlington","Masters, Edgar Lee",2,poetry-little-review-edges
"Robinson, Edwin Arlington","Lowell, Amy",2,poetry-little-review-edges
"Rivola, Flora Shufelt","Monroe, Harriet",2,poetry-little-review-edges
"Powys, John Cowper","Schuchert, Herman",3,poetry-little-review-edges
"Powys, John Cowper","Rolland, Romain",2,poetry-little-review-edges
"Powys, John Cowper","Aldington, Richard",5,poetry-little-review-edges
"Powys, John Cowper",K.,2,poetry-little-review-edges
"Powys, John Cowper","O'Neil, David",2,poetry-little-review-edges
"Powys, John Cowper","Monroe, Harriet",2,poetry-little-review-edges
"Powys, John Cowper","Saphier, William",2,poetry-little-review-edges
"Powys, John Cowper","Seiffert, Marjorie Allen",2,poetry-little-review-edges
"Powys, John Cowper","Ficke, Arthur Davison",2,poetry-little-review-edges
"Powys, John Cowper","Soule, George",2,poetry-little-review-edges
"Powys, John Cowper","Fletcher, John Gould",2,poetry-little-review-edges
"Powys, John Cowper","Foster, George Burman",2,poetry-little-review-edges
"Powys, John Cowper","Anderson, Margaret C.",4,poetry-little-review-edges
"Powys, John Cowper","Cowan, Sada",2,poetry-little-review-edges
"Powys, John Cowper","Aldis, Mary",2,poetry-little-review-edges
"Powys, John Cowper","Gabirol, Ibn",2,poetry-little-review-edges
"Powys, John Cowper","Kaun, Alexander S.",4,poetry-little-review-edges
"Sherry, Laura","Andelson, Pearl",3,poetry-little-review-edges
"Sherry, Laura","Carnevali, Emanuel",3,poetry-little-review-edges
"Sherry, Laura","Schneider, Isidor",3,poetry-little-review-edges
"Sherry, Laura","Strobel, Marion",3,poetry-little-review-edges
"Sherry, Laura","Aldington, Richard",2,poetry-little-review-edges
"Sherry, Laura","Monroe, Harriet",7,poetry-little-review-edges
"Sherry, Laura","Sapir, Edward",2,poetry-little-review-edges
"Sherry, Laura","Garnett, Louise Ayres",2,poetry-little-review-edges
"Sherry, Laura","Crawford, Nelson Antrim",4,poetry-little-review-edges
"Sherry, Laura","Wescott, Glenway",2,poetry-little-review-edges
"Davies, Mary Carolyn","Henderson, Alice C.",2,poetry-little-review-edges
"Davies, Mary Carolyn","Carnevali, Emanuel",2,poetry-little-review-edges
"Davies, Mary Carolyn","Lee, Muna",2,poetry-little-review-edges
"Davies, Mary Carolyn","Monroe, Harriet",4,poetry-little-review-edges
"Davies, Mary Carolyn","Pound, Ezra",2,poetry-little-review-edges
"Grudin, Louis","Monroe, Harriet",3,poetry-little-review-edges
"Grudin, Louis","Frank, Florence Kiper",2,poetry-little-review-edges
"Grudin, Louis","Andelson, Pearl",2,poetry-little-review-edges
"Hecht, Ben","Yeats, William Butler",2,poetry-little-review-edges
"Hecht, Ben","Lewis, Wyndham",3,poetry-little-review-edges
